title,description,super_category,is_active,meta_title,meta_desc,alt_tag,slug,id_num
Best Sellers,This is the main category description,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz1,1
Boston,This is the main category description,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz2,2
Chicago Bears,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz3,3
Chicago Black & White,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz4,4
Chicago Blackhawks,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz5,5
Chicago Bulls,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz6,6
Chicago Scenery,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz7,7
Chicago Cubs,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz8,8
Chicago Buildings,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz9,9
Chicago Panoramas,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz10,10
Chicago Vintage,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz11,11
Chicago White Sox,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz12,12
College Football,This is the main category description,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz13,13
European Cities,This is the main category description,Europe,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz14,14
Holiday Shopping,This is the main category description,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz15,15
MLB,This is the main category description,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz16,16
Nature,This is the main category description,Nature,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz17,17
NFL,This is the main category description,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz18,18
San Francisco,This is the main category description,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz19,19
Whats New,This is the main category description,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz20,20
Chicago Attractions,This is the main category description,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,zzz21,21
