title,main_category
2005 White Sox Championship,Chicago White Sox
2009 Winter Classic,Chicago Blackhawks
2010 Blackhawks Championship,Chicago Blackhawks
2013 Blackhawks Stanley Cup Champions,Chicago Blackhawks
Big Ten College Stadiums,College Football
Black & White Boston Photos,Boston
Black & White Chicago - Horizontal,Chicago Black & White
Black & White Chicago - Vertical,Chicago Black & White
Black & White Chicago Panoramas,Chicago Panoramas
Black & White San Francisco,San Francisco
Black & White Wrigley Field,Chicago Cubs
Boston Aerial Images,Boston
Boston Landmarks & Attractions,Boston
Boston Public Garden,Boston
Boston Skyline,Boston
Buckingham Fountain,Chicago Landmarks
Bulls Championship,Chicago Bulls
Camden Yards,MLB
Cellular Field Panoramas,Chicago White Sox
Chicago Aerial Views,Chicago Cityscape
Chicago Bears Players,Chicago Bears
Chicago Blackhawks Players,Chicago Blackhawks
Chicago Board Of Trade,Chicago Landmarks
Chicago Cityscape,Chicago Cityscape
Chicago Cubs Players,Chicago Cubs
Chicago Daytime & Aerial Panoramas,Chicago Panoramas
Chicago Gifts,Chicago Gifts
Chicago Marathon,Other Sports Stadiums
Chicago Sculptures,Chicago Landmarks
Chicago Street Cars,Chicago Vintage
Chicago Theatre,Chicago Landmarks
Chicago Water Tower,Chicago Landmarks
Comiskey Park,Chicago White Sox
Fenway Park,Boston
Golden Gate Bridge,San Francisco
Historic Vintage Chicago Landmarks,Chicago Vintage
Ireland & Irish Pubs,European Cities
Lambeau Field,NFL
Michael Jordan,Chicago Bulls
Millennium Park,Chicago Landmarks
Modern Day Chicago - Thick Black Frame,Chicago Black & White
Navy Pier,Chicago Landmarks
Notre Dame Football,College Football
Old Chicago Stadium,Chicago Blackhawks
Other Famous Chicago Landmarks,Chicago Landmarks
San Francisco Landmarks,San Francisco
San Francisco Skyline,San Francisco
Shea Stadium,MLB
Soldier Field,Chicago Bears
Soldier Field Aerials,Chicago Bears
Soldier Field Panoramas,Chicago Bears
State Street,Chicago Landmarks
Sunset & Dusk Panoramas,Chicago Panoramas
Tall Ships Chicago 2010,Chicago Landmarks
Trump Tower Chicago,Chicago Landmarks
Us Cellular Field,Chicago White Sox
Vintage Chicago Skyline,Chicago Vintage
Vintage Chicago Sports,Chicago Vintage
Wrigley Building,Chicago Landmarks
Wrigley Field,Chicago Cubs
Wrigley Field Aerials,Chicago Cubs
Wrigley Field Panoramas,Chicago Cubs
Yankee Stadium,MLB
